"id","recipe_id","name","quantity","position","created_at","updated_at"
17440242,2238013,"バター","50g",12,"2013-05-28 09:54:39","2013-05-28 09:54:39"
17440243,2238013,"レモンの皮のすりおろし","（あれば）少々",13,"2013-05-28 09:54:39","2013-05-28 09:54:39"
17440244,2238013,"その他","",14,"2013-05-28 09:54:39","2013-05-28 09:54:39"
17440245,2238013,"牛乳","大匙１〜",15,"2013-05-28 09:54:39","2013-05-28 09:54:39"
17553727,2251689,"グリーンピース（鞘を外して）","300g",0,"2013-06-10 10:35:13","2013-06-10 10:35:13"
17581550,2251689,"砂糖","120g",1,"2013-06-13 10:45:45","2013-06-13 10:45:45"
17585768,2255680,"キャベツ","1/8個分位",0,"2013-06-13 18:41:36","2013-06-13 18:41:36"
17585769,2255680,"胡瓜","1/2本",1,"2013-06-13 18:41:36","2013-06-13 18:41:36"
17585770,2255680,"塩昆布","大匙1〜",2,"2013-06-13 18:41:36","2013-06-13 18:41:36"
17585862,2255680,"土佐酢（三杯酢でもOK）","大匙2",3,"2013-06-13 18:48:23","2013-06-13 18:48:23"
17585863,2255680,"ハチミツ","大匙1",4,"2013-06-13 18:48:23","2013-06-13 18:48:23"
17616904,2259251,"豚バラ薄切り肉","150g",0,"2013-06-17 15:52:49","2013-06-17 15:52:49"
17616905,2259251,"パプリカ","1/4個",1,"2013-06-17 15:52:49","2013-06-17 15:52:49"
17632263,2259251,"えのき茸","1/4株",2,"2013-06-19 13:46:36","2013-06-19 13:46:36"
17632265,2259251,"サラダ油","適量",3,"2013-06-19 13:46:36","2013-06-19 13:46:36"
17632264,2259251,"胡麻ドレッシング（市販品）","大匙２",4,"2013-06-19 13:46:36","2013-06-19 13:46:36"
17616906,2259251,"豆苗","1/4株",5,"2013-06-17 15:52:49","2013-06-17 15:52:49"
17632292,2259251,"黒こしょう","お好みで",6,"2013-06-19 13:50:56","2013-06-19 13:50:56"
18216506,2332714,"スペアリブ","500g",0,"2013-09-03 09:08:23","2013-09-03 09:08:23"
18216507,2332714,"玉ねぎ","1.5〜2個",1,"2013-09-03 09:08:23","2013-09-03 09:08:23"
18216508,2332714,"★ケチャップ","大匙3",2,"2013-09-03 09:08:23","2013-09-03 09:08:23"
18216529,2332714,"★赤ワイン","1.5カップ（300cc）",3,"2013-09-03 09:13:28","2013-09-03 09:13:28"
18216530,2332714,"★塩","小匙１",4,"2013-09-03 09:13:28","2013-09-03 09:13:28"
18216531,2332714,"★粗挽き黒胡椒","適量",5,"2013-09-03 09:13:28","2013-09-03 09:13:28"
18216532,2332714,"★ローリエ","1〜2枚",6,"2013-09-03 09:13:28","2013-09-03 09:13:28"
18216533,2332714,"パセリ","お好みで",7,"2013-09-03 09:13:28","2013-09-03 09:13:28"
